direct,package,license,repository
direct,@deepgram/sdk@2.4.0,MIT,https://github.com/deepgram/deepgram-node-sdk
direct,@flydotio/dockerfile@0.4.11,MIT,https://github.com/fly-apps/dockerfile-node
direct,dotenv@16.3.1,BSD-2-Clause,https://github.com/motdotla/dotenv
direct,express-ws@5.0.2,BSD-2-Clause,https://github.com/HenningM/express-ws
direct,express@4.18.2,MIT,https://github.com/expressjs/express
direct,firebase-admin@12.0.0,Apache-2.0,https://github.com/firebase/firebase-admin-node
direct,firebase@10.7.1,Apache-2.0,https://github.com/firebase/firebase-js-sdk
direct,genai-phone@1.1.0,MIT,
direct,node-fetch@2.7.0,MIT,https://github.com/bitinn/node-fetch
direct,nodemon@3.0.2,MIT,https://github.com/remy/nodemon
direct,openai@4.20.1,Apache-2.0,https://github.com/openai/openai-node
direct,twilio@4.19.3,MIT,https://github.com/twilio/twilio-node
direct,uuid@9.0.1,MIT,https://github.com/uuidjs/uuid
direct,wavefile@11.0.0,MIT,https://github.com/rochars/wavefile
recursive,@fastify/busboy@1.2.1,MIT,https://github.com/fastify/busboy
recursive,@fastify/busboy@2.1.0,MIT,https://github.com/fastify/busboy
recursive,@firebase/analytics-compat@0.2.6,Apache-2.0,https://github.com/firebase/firebase-js-sdk
recursive,@firebase/analytics-types@0.8.0,Apache-2.0,https://github.com/firebase/firebase-js-sdk
recursive,@firebase/analytics@0.10.0,Apache-2.0,https://github.com/firebase/firebase-js-sdk
recursive,@firebase/app-check-compat@0.3.8,Apache-2.0,https://github.com/firebase/firebase-js-sdk
recursive,@firebase/app-check-interop-types@0.3.0,Apache-2.0,https://github.com/firebase/firebase-js-sdk
recursive,@firebase/app-check-types@0.5.0,Apache-2.0,https://github.com/firebase/firebase-js-sdk
recursive,@firebase/app-check@0.8.1,Apache-2.0,https://github.com/firebase/firebase-js-sdk
recursive,@firebase/app-compat@0.2.25,Apache-2.0,https://github.com/firebase/firebase-js-sdk
recursive,@firebase/app-types@0.9.0,Apache-2.0,https://github.com/firebase/firebase-js-sdk
recursive,@firebase/app@0.9.25,Apache-2.0,https://github.com/firebase/firebase-js-sdk
recursive,@firebase/auth-compat@0.5.1,Apache-2.0,https://github.com/firebase/firebase-js-sdk
recursive,@firebase/auth-interop-types@0.2.1,Apache-2.0,https://github.com/firebase/firebase-js-sdk
recursive,@firebase/auth-types@0.12.0,Apache-2.0,https://github.com/firebase/firebase-js-sdk
recursive,@firebase/auth@1.5.1,Apache-2.0,https://github.com/firebase/firebase-js-sdk
recursive,@firebase/component@0.6.4,Apache-2.0,https://github.com/firebase/firebase-js-sdk
recursive,@firebase/database-compat@1.0.2,Apache-2.0,https://github.com/firebase/firebase-js-sdk
recursive,@firebase/database-types@1.0.0,Apache-2.0,https://github.com/firebase/firebase-js-sdk
recursive,@firebase/database@1.0.2,Apache-2.0,https://github.com/firebase/firebase-js-sdk
recursive,@firebase/firestore-compat@0.3.23,Apache-2.0,https://github.com/firebase/firebase-js-sdk
recursive,@firebase/firestore-types@3.0.0,Apache-2.0,https://github.com/firebase/firebase-js-sdk
recursive,@firebase/firestore@4.4.0,Apache-2.0,https://github.com/firebase/firebase-js-sdk
recursive,@firebase/functions-compat@0.3.6,Apache-2.0,https://github.com/firebase/firebase-js-sdk
recursive,@firebase/functions-types@0.6.0,Apache-2.0,https://github.com/firebase/firebase-js-sdk
recursive,@firebase/functions@0.11.0,Apache-2.0,https://github.com/firebase/firebase-js-sdk
recursive,@firebase/installations-compat@0.2.4,Apache-2.0,https://github.com/firebase/firebase-js-sdk
recursive,@firebase/installations-types@0.5.0,Apache-2.0,https://github.com/firebase/firebase-js-sdk
recursive,@firebase/installations@0.6.4,Apache-2.0,https://github.com/firebase/firebase-js-sdk
recursive,@firebase/logger@0.4.0,Apache-2.0,https://github.com/firebase/firebase-js-sdk
recursive,@firebase/messaging-compat@0.2.5,Apache-2.0,https://github.com/firebase/firebase-js-sdk
recursive,@firebase/messaging-interop-types@0.2.0,Apache-2.0,https://github.com/firebase/firebase-js-sdk
recursive,@firebase/messaging@0.12.5,Apache-2.0,https://github.com/firebase/firebase-js-sdk
recursive,@firebase/performance-compat@0.2.4,Apache-2.0,https://github.com/firebase/firebase-js-sdk
recursive,@firebase/performance-types@0.2.0,Apache-2.0,https://github.com/firebase/firebase-js-sdk
recursive,@firebase/performance@0.6.4,Apache-2.0,https://github.com/firebase/firebase-js-sdk
recursive,@firebase/remote-config-compat@0.2.4,Apache-2.0,https://github.com/firebase/firebase-js-sdk
recursive,@firebase/remote-config-types@0.3.0,Apache-2.0,https://github.com/firebase/firebase-js-sdk
recursive,@firebase/remote-config@0.4.4,Apache-2.0,https://github.com/firebase/firebase-js-sdk
recursive,@firebase/storage-compat@0.3.3,Apache-2.0,https://github.com/firebase/firebase-js-sdk
recursive,@firebase/storage-types@0.8.0,Apache-2.0,https://github.com/firebase/firebase-js-sdk
recursive,@firebase/storage@0.12.0,Apache-2.0,https://github.com/firebase/firebase-js-sdk
recursive,@firebase/util@1.9.3,Apache-2.0,https://github.com/firebase/firebase-js-sdk
recursive,@firebase/webchannel-wrapper@0.10.5,Apache-2.0,https://github.com/firebase/firebase-js-sdk
recursive,@google-cloud/firestore@7.1.0,Apache-2.0,https://github.com/googleapis/nodejs-firestore
recursive,@google-cloud/paginator@5.0.0,Apache-2.0,https://github.com/googleapis/nodejs-paginator
recursive,@google-cloud/projectify@4.0.0,Apache-2.0,https://github.com/googleapis/nodejs-projectify
recursive,@google-cloud/promisify@4.0.0,Apache-2.0,https://github.com/googleapis/nodejs-promisify
recursive,@google-cloud/storage@7.7.0,Apache-2.0,https://github.com/googleapis/nodejs-storage
recursive,@grpc/grpc-js@1.9.13,Apache-2.0,https://github.com/grpc/grpc-node.git#master
recursive,@grpc/proto-loader@0.7.10,Apache-2.0,https://github.com/grpc/grpc-node
recursive,@protobufjs/aspromise@1.1.2,BSD-3-Clause,https://github.com/dcodeIO/protobuf.js
recursive,@protobufjs/base64@1.1.2,BSD-3-Clause,https://github.com/dcodeIO/protobuf.js
recursive,@protobufjs/codegen@2.0.4,BSD-3-Clause,https://github.com/dcodeIO/protobuf.js
recursive,@protobufjs/eventemitter@1.1.0,BSD-3-Clause,https://github.com/dcodeIO/protobuf.js
recursive,@protobufjs/fetch@1.1.0,BSD-3-Clause,https://github.com/dcodeIO/protobuf.js
recursive,@protobufjs/float@1.0.2,BSD-3-Clause,https://github.com/dcodeIO/protobuf.js
recursive,@protobufjs/inquire@1.1.0,BSD-3-Clause,https://github.com/dcodeIO/protobuf.js
recursive,@protobufjs/path@1.1.2,BSD-3-Clause,https://github.com/dcodeIO/protobuf.js
recursive,@protobufjs/pool@1.1.0,BSD-3-Clause,https://github.com/dcodeIO/protobuf.js
recursive,@protobufjs/utf8@1.1.0,BSD-3-Clause,https://github.com/dcodeIO/protobuf.js
recursive,@tootallnate/once@2.0.0,MIT,https://github.com/TooTallNate/once
recursive,@types/body-parser@1.19.5,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
recursive,@types/caseless@0.12.5,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
recursive,@types/connect@3.4.38,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
recursive,@types/express-serve-static-core@4.17.41,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
recursive,@types/express@4.17.21,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
recursive,@types/http-errors@2.0.4,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
recursive,@types/jsonwebtoken@9.0.5,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
recursive,@types/long@4.0.2,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
recursive,@types/mime@1.3.5,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
recursive,@types/node-fetch@2.6.9,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
recursive,@types/node@18.19.0,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
recursive,@types/node@20.10.5,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
recursive,@types/qs@6.9.10,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
recursive,@types/range-parser@1.2.7,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
recursive,@types/request@2.48.12,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
recursive,@types/send@0.17.4,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
